id,name,last_names,age,gender,group_index,rank_index,id_group,id_rank
9427c2a4-5b2e-4890-b213-d16b057ecb49,Javier,Valderrama López,26,Masculino,70,6,11a72847-5947-4e40-9f72-57b364432cf1,a7ea8107-f687-4d1b-a6db-c6092e0e1540
a6fdfa37-e8cc-43d2-bcb8-38ed5dd6e2f8,John,Barrera Ocampo,33,Masculino,160,4,dfb4fae3-0a3a-4385-bd33-f5139fca9ef3,6f28c950-c4b3-4a09-b6fa-86eff39dbc8b
a71fc647-4cfe-473b-8db9-a313e89e7693,Julia,Castro Sánchez,25,Femenino,240,6,1e02e925-2850-4183-8084-d624ba65a97b,a7ea8107-f687-4d1b-a6db-c6092e0e1540
5449fde3-1c99-4e38-aa4b-4ee1a663ce34,María,González Jaimes,21,Masculino,523,6,8089687e-86dd-4708-af07-774932bc1a16,a7ea8107-f687-4d1b-a6db-c6092e0e1540
add10bb9-4bc5-4dff-b32e-9ea5417137a4,María,Herrera Díaz,33,Masculino,138,5,09e81c46-c7c6-4cd7-84ae-877868ef7745,6f548c74-5817-4ea7-8ff4-eae597ec6542
ae422bb5-1b20-4336-8512-07ef2a67bbff,Luz,Sánchez Jaramillo,25,Femenino,495,6,b9a7ae1c-87e8-4e6b-8d4b-cd38f556b65b,a7ea8107-f687-4d1b-a6db-c6092e0e1540
d64093b5-cdb3-4ebb-9ac1-60a401cbc2d0,María,Hernández Leal,39,Femenino,679,8,799df34b-daa3-4b6c-b53e-f54b4995730a,8e950693-3c02-450e-b2e4-559b263b10e5
190463a8-de17-4a4a-a7ea-5249dc1ca16f,Ovidio,Escobar Galeano,30,Masculino,247,8,ddab02aa-b8f7-47b4-8416-f870a3466077,8e950693-3c02-450e-b2e4-559b263b10e5
7d7f921b-8557-4f98-8cd7-85ac6ce668a3,Hernán,Quintero Rincón,31,Masculino,543,5,d6dcb88e-72fc-49b9-a12b-dcef0b7bb952,6f548c74-5817-4ea7-8ff4-eae597ec6542
0d845c61-a022-4e89-aa7c-4b9d3d97d1fa,Dora,Gómez Bolaños,41,Femenino,524,3,cd77a870-da2c-4963-af88-425f626c2b34,ad177d80-fa61-4dbc-9a5a-b8409d9773dd
